Woreda,Kebele,Crop,Latitude,Longitude
Deder,Dire Welteha,Maize,9.2366658,41.4891605
Meta,Hakabas,Khat,9.4518438,41.5927704
Fedis,Kerensa Lencho,Khat,9.14642,42.1213575
Meta,Hakabas,Khat,9.4519446,41.5956587
Fedis,Aneni,Maize,9.0219528,42.0942614
Fedis,Aneni,Haricot_Bean,9.0219528,42.0942614
Meta,Hakabas,Maize,9.4345548,41.5966919
Meta,Hakabas,Sorghum,9.434533,41.5966889
Meta,Hakabas,Haricot_Bean,9.4347795,41.5969414
Meta,Hakabas,Khat,9.4347864,41.5969131
Chinakesen,Mudi Dawe,Wheat,9.5398896,42.4047455
Meta,Dhoqe #2,Khat,9.4323502,41.5708035
Fedis,Kerensa Lencho,Maize,9.1478303,42.1177526
Fedis,Kerensa Lencho,Sorghum,9.1478303,42.1177526
Meta,Dhoqe #2,Maize,9.4312741,41.5631928
Meta,Dhoqe #2,Khat,9.4312587,41.5631902
Melka Belo,Burika Negeya,Maize,9.1706103,41.3053286
Melka Belo,Burika Negeya,Khat,9.1706103,41.3053286
Jarso,Weltehi,Maize,9.4428013,42.2643681
Jarso,Weltehi,Potato,9.4428013,42.2643681
Jarso,Weltehi,Khat,9.4469775,42.2566223
Chinakesen,Lugo,Wheat,9.521145,42.6076
Chinakesen,Yugyug,Wheat,9.5341148,42.6254073
Fedis,Negeya Umerkule,Sorghum,9.1358525,42.0602262
Jarso,Gara Abdula,Wheat,9.4638793,42.2338644
Jarso,Gara Abdula,Potato,9.4638619,42.2338788
Jarso,Gara Abdula,Khat,9.4675372,42.2333663
Fedis,Kerensa Lencho,Maize,9.1479297,42.1181308
Fedis,Kerensa Lencho,Sorghum,9.1479297,42.1181308
Gursum,Harashi,Khat,9.3870808,42.3507034
Melka Belo,Boko Jalela,Sorghum,9.1758176,41.3048696
Melka Belo,Boko Jalela,Maize,9.1177426,41.4146904
Melka Belo,Boko Jalela,Sorghum,9.1177426,41.4146904
Chinakesen,Yugyug,Wheat,9.5468036,42.6368794
Jarso,Gara Abdula,Wheat,9.4467502,42.2458705
Jarso,Gara Abdula,Khat,9.4467502,42.2458705
Fedis,Kufa Bobasa,Maize,9.005194,42.2213218
Meta,Hakabas,Maize,9.4504828,41.6044763
Meta,Hakabas,Sorghum,9.4505573,41.6044232
Meta,Hakabas,Haricot_Bean,9.4505018,41.6044232
Meta,Hakabas,Khat,9.4505406,41.6044371
Chinakesen,Yugyug,Sorghum,9.5419276,42.6340036
Chinakesen,Yugyug,Wheat,9.5410959,42.6339557
Fedis,Aneni,Sorghum,9.0138402,42.1021617
Fedis,Aneni,Khat,9.0132473,42.1023179
Deder,Dire Welteha,Maize,9.2312303,41.4879562
Chinakesen,Godagorez,Wheat,9.458627,42.6260953
Chinakesen,Godagorez,Maize,9.4555045,42.6277041
Babile,Nejata Gemechis,Sorghum,9.1692472,42.1704234
Jarso,Bedesa,Maize,9.4437181,42.316158
Jarso,Bedesa,Wheat,9.4437181,42.316158
Jarso,Bedesa,Potato,9.4437181,42.316158
Gursum,Harashi,Maize,9.3815452,42.3576215
Gursum,Harashi,Khat,9.3815452,42.3576215
Babile,Ifedin,Sorghum,9.1967873,42.2497642
Gursum,Harashi,Maize,9.39003,42.3533071
Gursum,Harashi,Khat,9.39003,42.3533071
Melka Belo,Burika Negeya,Maize,9.1672775,41.2813356
Melka Belo,Burika Negeya,Khat,9.1672775,41.2813356
Babile,Ifedin,Sorghum,9.2016457,42.1968515
Babile,Ifedin,Ground_Nut,9.2016457,42.1968515
Babile,Ifedin,Khat,9.2016457,42.1968515
Chinakesen,Mudi Dawe,Maize,9.5503432,42.409524
Chinakesen,Mudi Dawe,Sorghum,9.5503432,42.409524
Chinakesen,Mudi Dawe,Haricot_Bean,9.5513656,42.4072768
Chinakesen,Yugyug,Wheat,9.5496432,42.6341267
Gursum,Harashi,Maize,9.3788322,42.3563671
Gursum,Harashi,Khat,9.3788322,42.3563671
Melka Belo,Boko Jalela,Maize,9.0797166,41.4340051
Melka Belo,Burika Negeya,Maize,9.1679899,41.281283
Melka Belo,Burika Negeya,Sorghum,9.1679899,41.281283
Melka Belo,Burika Negeya,Khat,9.1679899,41.281283
Fedis,Kerensa Lencho,Maize,9.144639,42.0877085
Fedis,Kerensa Lencho,Sorghum,9.1445664,42.0882416
Fedis,Kerensa Lencho,Sorghum,9.1498503,42.1135348
Fedis,Kerensa Lencho,Khat,9.1498503,42.1135348
Melka Belo,Burika Negeya,Maize,9.1758176,41.3048696
Melka Belo,Burika Negeya,Khat,9.1758176,41.3048696
Midega Tola,Bilisuma,Maize,8.8290145,42.1610259
Midega Tola,Bilisuma,Sorghum,8.8292452,42.1614677
Midega Tola,Bilisuma,Ground_Nut,8.8301946,42.1517997
Chinakesen,Godagorez,Maize,9.4655062,42.6161386
Chinakesen,Godagorez,Wheat,9.4651155,42.6193588
