"WSNAME","YEAR","MONTHNUM","WSNAME_","FILENAME"
"Babile Cacatu sulula",2018,4,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2018_4.tif"
"Babile Cacatu sulula",2018,10,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2018_10.tif"
"Babile Cacatu sulula",2019,4,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2019_4.tif"
"Babile Cacatu sulula",2019,10,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2019_10.tif"
"Babile Cacatu sulula",2020,4,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2020_4.tif"
"Babile Cacatu sulula",2020,10,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2020_10.tif"
"Babile Cacatu sulula",2021,4,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2021_4.tif"
"Babile Cacatu sulula",2021,10,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2021_10.tif"
"Babile Cacatu sulula",2022,4,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2022_4.tif"
"Babile Cacatu sulula",2022,10,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2022_10.tif"
"Babile Cacatu sulula",2023,10,"Babile_Cacatu_sulula","LULC_Babile_Cacatu_sulula_2023_10.tif"
"Babile Guutoo",2018,4,"Babile_Guutoo","LULC_Gambela_Guutoo_2018_4.tif"
"Babile Guutoo",2018,10,"Babile_Guutoo","LULC_Gambela_Guutoo_2018_10.tif"
"Babile Guutoo",2019,4,"Babile_Guutoo","LULC_Gambela_Guutoo_2019_4.tif"
"Babile Guutoo",2019,10,"Babile_Guutoo","LULC_Gambela_Guutoo_2019_10.tif"
"Babile Guutoo",2020,4,"Babile_Guutoo","LULC_Gambela_Guutoo_2020_4.tif"
"Babile Guutoo",2020,10,"Babile_Guutoo","LULC_Gambela_Guutoo_2020_10.tif"
"Babile Guutoo",2021,4,"Babile_Guutoo","LULC_Gambela_Guutoo_2021_4.tif"
"Babile Guutoo",2021,10,"Babile_Guutoo","LULC_Gambela_Guutoo_2021_10.tif"
"Babile Guutoo",2022,4,"Babile_Guutoo","LULC_Gambela_Guutoo_2022_4.tif"
"Babile Guutoo",2022,10,"Babile_Guutoo","LULC_Gambela_Guutoo_2022_10.tif"
"Babile Guutoo",2023,10,"Babile_Guutoo","LULC_Gambela_Guutoo_2023_10.tif"
"Babile Qabanawa sulula",2018,10,"Babile_Qabanawa_sulula","LULC_Babile_Qabanawa_sulula_2018_10.tif"
