"WSNAME","YEAR","MONTHNUM","FILENAME"
"Babile Cacatu sulula",2017,4,"Babile_Cacatu_sulula__3_NDVI_mean.tif"
"Babile Cacatu sulula",2017,6,"Babile_Cacatu_sulula__5_NDVI_mean.tif"
"Babile Cacatu sulula",2017,10,"Babile_Cacatu_sulula__9_NDVI_mean.tif"
"Babile Cacatu sulula",2017,11,"Babile_Cacatu_sulula__10_NDVI_mean.tif"
"Babile Cacatu sulula",2017,12,"Babile_Cacatu_sulula__11_NDVI_mean.tif"
"Babile Cacatu sulula",2018,4,"Babile_Cacatu_sulula__15_NDVI_mean.tif"
"Babile Cacatu sulula",2018,6,"Babile_Cacatu_sulula__17_NDVI_mean.tif"
"Babile Cacatu sulula",2018,10,"Babile_Cacatu_sulula__21_NDVI_mean.tif"
"Babile Cacatu sulula",2018,11,"Babile_Cacatu_sulula__22_NDVI_mean.tif"
"Babile Cacatu sulula",2018,12,"Babile_Cacatu_sulula__23_NDVI_mean.tif"
"Babile Cacatu sulula",2019,4,"Babile_Cacatu_sulula__27_NDVI_mean.tif"
"Babile Cacatu sulula",2019,6,"Babile_Cacatu_sulula__29_NDVI_mean.tif"
"Babile Cacatu sulula",2019,10,"Babile_Cacatu_sulula__33_NDVI_mean.tif"
"Babile Cacatu sulula",2019,11,"Babile_Cacatu_sulula__34_NDVI_mean.tif"
"Babile Cacatu sulula",2019,12,"Babile_Cacatu_sulula__35_NDVI_mean.tif"
"Babile Cacatu sulula",2020,4,"Babile_Cacatu_sulula__39_NDVI_mean.tif"
"Babile Cacatu sulula",2020,6,"Babile_Cacatu_sulula__41_NDVI_mean.tif"
"Babile Cacatu sulula",2020,10,"Babile_Cacatu_sulula__45_NDVI_mean.tif"
"Babile Cacatu sulula",2020,11,"Babile_Cacatu_sulula__46_NDVI_mean.tif"
"Babile Cacatu sulula",2020,12,"Babile_Cacatu_sulula__47_NDVI_mean.tif"
"Babile Cacatu sulula",2021,4,"Babile_Cacatu_sulula__51_NDVI_mean.tif"
"Babile Cacatu sulula",2021,6,"Babile_Cacatu_sulula__53_NDVI_mean.tif"
"Babile Cacatu sulula",2021,10,"Babile_Cacatu_sulula__57_NDVI_mean.tif"
"Babile Cacatu sulula",2021,11,"Babile_Cacatu_sulula__58_NDVI_mean.tif"
"Babile Cacatu sulula",2021,12,"Babile_Cacatu_sulula__59_NDVI_mean.tif"
"Babile Cacatu sulula",2022,4,"Babile_Cacatu_sulula__63_NDVI_mean.tif"
"Babile Cacatu sulula",2022,6,"Babile_Cacatu_sulula__65_NDVI_mean.tif"
"Babile Cacatu sulula",2022,10,"Babile_Cacatu_sulula__69_NDVI_mean.tif"
"Babile Cacatu sulula",2022,11,"Babile_Cacatu_sulula__70_NDVI_mean.tif"
"Babile Cacatu sulula",2022,12,"Babile_Cacatu_sulula__71_NDVI_mean.tif"
"Babile Cacatu sulula",2023,4,"Babile_Cacatu_sulula__75_NDVI_mean.tif"
"Babile Cacatu sulula",2023,6,"Babile_Cacatu_sulula__77_NDVI_mean.tif"
"Babile Cacatu sulula",2023,10,"Babile_Cacatu_sulula__81_NDVI_mean.tif"
"Babile Cacatu sulula",2023,11,"Babile_Cacatu_sulula__82_NDVI_mean.tif"
"Babile Cacatu sulula",2023,12,"Babile_Cacatu_sulula__83_NDVI_mean.tif"
"Babile Guutoo",2017,4,"Babile_Guutoo__3_NDVI_mean.tif"
"Babile Guutoo",2017,6,"Babile_Guutoo__5_NDVI_mean.tif"
"Babile Guutoo",2017,10,"Babile_Guutoo__9_NDVI_mean.tif"
"Babile Guutoo",2017,11,"Babile_Guutoo__10_NDVI_mean.tif"
"Babile Guutoo",2017,12,"Babile_Guutoo__11_NDVI_mean.tif"
"Babile Guutoo",2018,4,"Babile_Guutoo__15_NDVI_mean.tif"
"Babile Guutoo",2018,6,"Babile_Guutoo__17_NDVI_mean.tif"
"Babile Guutoo",2018,10,"Babile_Guutoo__21_NDVI_mean.tif"
"Babile Guutoo",2018,11,"Babile_Guutoo__22_NDVI_mean.tif"
"Babile Guutoo",2018,12,"Babile_Guutoo__23_NDVI_mean.tif"
